Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[growth condition]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]
USA300_AgXX_1_strRNA_B4	ERS2622981	SAMEA4803067	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_AgXX_1_strRNA_B4	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_AgXX_1_strRNA_B4	sequencing assay	ERX2727189	USA300_AgXX_1_strRNA_B4_ACAGTG_L001_R1_001.fastq.gz	USA300_AgXX_1_strRNA_B4_ACAGTG_L001_R1_001.fastq.gz	ERR2713020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/000/ERR2713020/ERR2713020_1.fastq.gz	142	72	AgXX373	4.5	microgram per milliliter
USA300_AgXX_1_strRNA_B4	ERS2622981	SAMEA4803067	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_AgXX_1_strRNA_B4	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_AgXX_1_strRNA_B4	sequencing assay	ERX2727189	USA300_AgXX_1_strRNA_B4_ACAGTG_L001_R2_001.fastq.gz	USA300_AgXX_1_strRNA_B4_ACAGTG_L001_R2_001.fastq.gz	ERR2713020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/000/ERR2713020/ERR2713020_2.fastq.gz	142	72	AgXX373	4.5	microgram per milliliter
USA300_AgXX_2_strRNA_B5	ERS2622982	SAMEA4803068	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_AgXX_2_strRNA_B5	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_AgXX_2_strRNA_B5	sequencing assay	ERX2727190	USA300_AgXX_2_strRNA_B5_ACTTGA_L001_R1_001.fastq.gz	USA300_AgXX_2_strRNA_B5_ACTTGA_L001_R1_001.fastq.gz	ERR2713021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/001/ERR2713021/ERR2713021_1.fastq.gz	142	72	AgXX373	4.5	microgram per milliliter
USA300_AgXX_2_strRNA_B5	ERS2622982	SAMEA4803068	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_AgXX_2_strRNA_B5	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_AgXX_2_strRNA_B5	sequencing assay	ERX2727190	USA300_AgXX_2_strRNA_B5_ACTTGA_L001_R2_001.fastq.gz	USA300_AgXX_2_strRNA_B5_ACTTGA_L001_R2_001.fastq.gz	ERR2713021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/001/ERR2713021/ERR2713021_2.fastq.gz	142	72	AgXX373	4.5	microgram per milliliter
USA300_AgXX_3_strRNA_B6	ERS2622983	SAMEA4803069	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_AgXX_3_strRNA_B6	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_AgXX_3_strRNA_B6	sequencing assay	ERX2727191	USA300_AgXX_3_strRNA_B6_GATCAG_L001_R1_001.fastq.gz	USA300_AgXX_3_strRNA_B6_GATCAG_L001_R1_001.fastq.gz	ERR2713022	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/002/ERR2713022/ERR2713022_1.fastq.gz	142	72	AgXX373	4.5	microgram per milliliter
USA300_AgXX_3_strRNA_B6	ERS2622983	SAMEA4803069	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_AgXX_3_strRNA_B6	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_AgXX_3_strRNA_B6	sequencing assay	ERX2727191	USA300_AgXX_3_strRNA_B6_GATCAG_L001_R2_001.fastq.gz	USA300_AgXX_3_strRNA_B6_GATCAG_L001_R2_001.fastq.gz	ERR2713022	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/002/ERR2713022/ERR2713022_2.fastq.gz	142	72	AgXX373	4.5	microgram per milliliter
USA300_Co_1_strRNA_B1	ERS2622984	SAMEA4803070	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_Co_1_strRNA_B1	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_Co_1_strRNA_B1	sequencing assay	ERX2727192	USA300_Co_1_strRNA_B1_ATCACG_L001_R1_001.fastq.gz	USA300_Co_1_strRNA_B1_ATCACG_L001_R1_001.fastq.gz	ERR2713023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/003/ERR2713023/ERR2713023_1.fastq.gz	142	72	none	  	        
USA300_Co_1_strRNA_B1	ERS2622984	SAMEA4803070	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_Co_1_strRNA_B1	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_Co_1_strRNA_B1	sequencing assay	ERX2727192	USA300_Co_1_strRNA_B1_ATCACG_L001_R2_001.fastq.gz	USA300_Co_1_strRNA_B1_ATCACG_L001_R2_001.fastq.gz	ERR2713023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/003/ERR2713023/ERR2713023_2.fastq.gz	142	72	none	  	        
USA300_Co_2_strRNA_B2	ERS2622985	SAMEA4803071	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_Co_2_strRNA_B2	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_Co_2_strRNA_B2	sequencing assay	ERX2727193	USA300_Co_2_strRNA_B2_TTAGGC_L001_R1_001.fastq.gz	USA300_Co_2_strRNA_B2_TTAGGC_L001_R1_001.fastq.gz	ERR2713024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/004/ERR2713024/ERR2713024_1.fastq.gz	142	72	none	  	        
USA300_Co_2_strRNA_B2	ERS2622985	SAMEA4803071	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_Co_2_strRNA_B2	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_Co_2_strRNA_B2	sequencing assay	ERX2727193	USA300_Co_2_strRNA_B2_TTAGGC_L001_R2_001.fastq.gz	USA300_Co_2_strRNA_B2_TTAGGC_L001_R2_001.fastq.gz	ERR2713024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/004/ERR2713024/ERR2713024_2.fastq.gz	142	72	none	  	        
USA300_CO_3_strRNA_B3	ERS2622986	SAMEA4803072	Staphylococcus aureus subsp. aureus USA300	TCH1516	RPMI1640  medium	wild type genotype	whole organism	P-MTAB-77321	P-MTAB-77325	P-MTAB-77326	P-MTAB-77322	P-MTAB-77323	USA300_CO_3_strRNA_B3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	250	100	5'-3'-3'-5'	P-MTAB-77324	T. Busche	USA300_CO_3_strRNA_B3	sequencing assay	ERX2727194	USA300_CO_3_strRNA_B3_neu_TGACCA_L001_R1_001.fastq.gz	USA300_CO_3_strRNA_B3_neu_TGACCA_L001_R1_001.fastq.gz	ERR2713025	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR271/005/ERR2713025/ERR2713025_1.fastq.gz	150	76	none	  	        
