# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	544	1905	+					dnaA		USA300HOU_0001	1362		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	544	1905	+	ABX28047.1			replication initiation protein DnaA	dnaA		USA300HOU_0001	1362	453	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2183	3316	+					dnaN		USA300HOU_0002	1134		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2183	3316	+	ABX28048.1			DNA-directed DNA polymerase beta subunit	dnaN		USA300HOU_0002	1134	377	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	3697	3942	+							USA300HOU_0003	246		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	3697	3942	+	ABX28049.1			hypothetical protein			USA300HOU_0003	246	81	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	3939	5051	+					recF		USA300HOU_0004	1113		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	3939	5051	+	ABX28050.1			recombination protein RecF	recF		USA300HOU_0004	1113	370	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	5061	6995	+					gyrB		USA300HOU_0005	1935		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	5061	6995	+	ABX28051.1			DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		USA300HOU_0005	1935	644	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	7032	9695	+					gyrA		USA300HOU_0006	2664		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	7032	9695	+	ABX28052.1			DNA topoisomerase (ATP-hydrolyzing) subunit A	gyrA		USA300HOU_0006	2664	887	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	9782	10612	-							USA300HOU_0007	831		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	9782	10612	-	ABX28053.1			possible carbohydrate kinase			USA300HOU_0007	831	276	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	10920	12434	+					hutH		USA300HOU_0008	1515		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	10920	12434	+	ABX28054.1			histidine ammonia-lyase	hutH		USA300HOU_0008	1515	504	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	12813	14099	+					serS		USA300HOU_0009	1287		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	12813	14099	+	ABX28055.1			serine--tRNA ligase	serS		USA300HOU_0009	1287	428	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	14749	15444	+							USA300HOU_0010	696		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	14749	15444	+	ABX28056.1			LIV-E family branched chain amino acid exporter			USA300HOU_0010	696	231	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	15441	15770	+							USA300HOU_0011	330		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	15441	15770	+	ABX28057.1			possible membrane protein			USA300HOU_0011	330	109	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	16133	17101	+					metX		USA300HOU_0012	969		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	16133	17101	+	ABX28058.1			possible homoserine O-acetyltransferase	metX		USA300HOU_0012	969	322	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	17392	18330	+							USA300HOU_0013	939		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	17392	18330	+	ABX28059.1			possible membrane protein			USA300HOU_0013	939	312	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	18345	20312	+							USA300HOU_0014	1968		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	18345	20312	+	ABX28060.1			DHH subfamily phosphodiesterase			USA300HOU_0014	1968	655	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	20309	20755	+					rplI		USA300HOU_0015	447		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	20309	20755	+	ABX28061.1			ribosomal protein L9	rplI		USA300HOU_0015	447	148	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	20787	22187	+					dnaB1		USA300HOU_0016	1401		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	20787	22187	+	ABX28062.1			replicative DNA helicase DnaB	dnaB1		USA300HOU_0016	1401	466	
