# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "CDS" "-p" "-g" "gene_id" "-F" "GTF" "-a" "data/reference_genome/S_aureus_CP000730.gtf" "-o" "data/processed_data/counts_files/all_samples_counts.txt" "data/processed_data/bam_files/ERR2713020.bam" "data/processed_data/bam_files/ERR2713021.bam" "data/processed_data/bam_files/ERR2713022.bam" "data/processed_data/bam_files/ERR2713023.bam" "data/processed_data/bam_files/ERR2713024.bam" "data/processed_data/bam_files/ERR2713025.bam" 
Geneid	Chr	Start	End	Strand	Length	data/processed_data/bam_files/ERR2713020.bam	data/processed_data/bam_files/ERR2713021.bam	data/processed_data/bam_files/ERR2713022.bam	data/processed_data/bam_files/ERR2713023.bam	data/processed_data/bam_files/ERR2713024.bam	data/processed_data/bam_files/ERR2713025.bam
USA300HOU_0001	CP000730.1	544	1902	+	1359	8304	7168	8467	15019	8767	23055
USA300HOU_0002	CP000730.1	2183	3313	+	1131	11404	11536	11125	12550	7249	15852
USA300HOU_0003	CP000730.1	3697	3939	+	243	1560	1992	1850	1856	1110	3390
USA300HOU_0004	CP000730.1	3939	5048	+	1110	7638	8144	7857	12075	6985	17110
USA300HOU_0005	CP000730.1	5061	6992	+	1932	14234	16042	14610	24196	12532	27382
USA300HOU_0006	CP000730.1	7032	9692	+	2661	18238	22535	17797	31096	16394	36695
USA300HOU_0007	CP000730.1	9785	10612	-	828	804	597	788	4126	2379	8020
USA300HOU_0008	CP000730.1	10920	12431	+	1512	575	557	479	620	345	963
USA300HOU_0009	CP000730.1	12813	14096	+	1284	2283	2110	1930	2373	1578	4508
USA300HOU_0010	CP000730.1	14749	15441	+	693	343	217	210	765	554	1375
USA300HOU_0011	CP000730.1	15441	15767	+	327	217	148	192	396	259	776
USA300HOU_0012	CP000730.1	16133	17098	+	966	860	698	726	1314	792	1728
USA300HOU_0013	CP000730.1	17392	18327	+	936	3645	2950	3533	5930	3250	7090
USA300HOU_0014	CP000730.1	18345	20309	+	1965	12648	11128	12930	25370	13315	32176
USA300HOU_0015	CP000730.1	20309	20752	+	444	3927	3682	3893	6306	3653	8519
USA300HOU_0016	CP000730.1	20787	22184	+	1398	9638	8968	10054	16730	9072	23733
USA300HOU_0017	CP000730.1	22465	23745	+	1281	613	707	515	18993	10572	16487
USA300HOU_0018	CP000730.1	24946	25650	+	705	4396	4046	4112	2872	1791	4151
USA300HOU_0019	CP000730.1	25666	27489	+	1824	10271	10628	10043	7693	4127	9078
USA300HOU_0020	CP000730.1	27485	28816	+	1332	9171	9370	8994	7374	4096	8425
USA300HOU_0021	CP000730.1	28820	29605	+	786	5832	6057	6227	5228	3087	6407
USA300HOU_0022	CP000730.1	29998	30795	+	798	1093	988	1159	1584	897	2336
USA300HOU_0023	CP000730.1	30984	33341	+	2358	277	180	161	1773	1001	1373
USA300HOU_0024	CP000730.1	33712	34188	+	477	384	361	367	729	468	1375
USA300HOU_0025	CP000730.1	34474	35766	+	1293	1403	1330	1463	2026	1286	2669
USA300HOU_0026	CP000730.1	35880	36551	-	672	680	736	619	1819	1029	2291
USA300HOU_0028	CP000730.1	37074	37301	+	228	10	5	10	26	10	27
USA300HOU_0029	CP000730.1	37813	38553	+	741	944	744	1016	665	400	782
USA300HOU_0030	CP000730.1	38653	39078	+	426	208	151	142	409	211	412
USA300HOU_0031	CP000730.1	39130	41133	-	2004	4196	3914	3746	7148	4479	8376
USA300HOU_0032	CP000730.1	41305	42216	+	912	3633	3792	3390	3686	2198	5466
USA300HOU_0033	CP000730.1	42143	42448	+	306	926	913	844	979	640	1438
USA300HOU_0034	CP000730.1	42445	43965	-	1521	77	42	26	77	62	64
USA300HOU_0035	CP000730.1	44104	44610	-	507	32	26	20	35	17	47
USA300HOU_0036	CP000730.1	44625	44933	-	309	24	5	5	10	2	7
USA300HOU_0037	CP000730.1	44938	45027	-	90	0	1	2	0	1	2
USA300HOU_0038	CP000730.1	45023	45370	-	348	23	10	8	25	6	33
USA300HOU_0039	CP000730.1	45895	47520	-	1626	1638	1329	1630	1056	629	1462
USA300HOU_0040	CP000730.1	47545	48891	-	1347	758	710	793	663	452	1273
USA300HOU_0041	CP000730.1	49128	50912	-	1785	331	275	329	644	359	921
USA300HOU_0042	CP000730.1	50915	51202	-	288	39	32	25	71	39	101
USA300HOU_0043	CP000730.1	51299	52387	+	1089	681	632	578	492	253	424
USA300HOU_0044	CP000730.1	53063	54550	+	1488	4499	4701	4029	2751	1551	3124
USA300HOU_0045	CP000730.1	55180	56181	-	1002	277	195	219	547	310	625
USA300HOU_0046	CP000730.1	56300	56434	+	135	7	2	0	37	17	31
USA300HOU_0048	CP000730.1	56934	57551	+	618	3663	2744	4207	5197	2745	8686
USA300HOU_0049	CP000730.1	58474	58641	-	168	19	5	4	12	29	29
USA300HOU_0050	CP000730.1	59043	60005	+	963	312	280	246	860	341	508
USA300HOU_0051	CP000730.1	60105	60293	+	189	90	67	80	152	94	144
USA300HOU_0052	CP000730.1	60388	60714	+	327	186	149	157	254	134	238
USA300HOU_0053	CP000730.1	60797	61162	-	366	269	299	271	384	165	376
USA300HOU_0054	CP000730.1	61393	61557	+	165	109	137	104	157	99	169
USA300HOU_0055	CP000730.1	61727	62533	-	807	77	38	50	111	96	121
USA300HOU_0056	CP000730.1	62553	62732	+	180	19	10	12	39	21	40
USA300HOU_0057	CP000730.1	63049	63543	-	495	1013	977	926	1473	913	1994
USA300HOU_0058	CP000730.1	63734	63859	-	126	2	1	1	0	2	2
USA300HOU_0059	CP000730.1	64071	65165	+	1095	22409	27781	23770	527	337	1044
USA300HOU_0060	CP000730.1	65426	65647	-	222	110	86	91	11	5	16
USA300HOU_0061	CP000730.1	65664	66164	-	501	268	263	258	46	36	63
USA300HOU_0062	CP000730.1	66183	66506	-	324	59	36	38	21	15	35
USA300HOU_0063	CP000730.1	66496	66585	-	90	1	0	1	0	0	0
USA300HOU_0064	CP000730.1	66581	66928	-	348	68	46	42	34	24	32
USA300HOU_0065	CP000730.1	67885	68733	+	849	129	122	112	219	108	261
USA300HOU_0066	CP000730.1	68839	69765	-	927	1707	1808	1817	531	277	658
USA300HOU_0067	CP000730.1	69788	70783	-	996	1294	1515	1312	359	190	510
USA300HOU_0068	CP000730.1	70824	71510	-	687	373	353	357	110	59	124
USA300HOU_0069	CP000730.1	71555	72973	-	1419	1019	851	887	560	331	916
USA300HOU_0070	CP000730.1	73062	74294	-	1233	1743	1390	1433	3038	1763	4935
USA300HOU_0071	CP000730.1	74566	75009	-	444	185	116	108	87	65	73
USA300HOU_0072	CP000730.1	75511	75939	+	429	4004	4980	4009	985	684	2503
USA300HOU_0075	CP000730.1	77076	77888	+	813	4994	5554	4128	767	483	880
USA300HOU_0076	CP000730.1	78378	79388	+	1011	662	587	533	688	396	782
USA300HOU_0077	CP000730.1	79651	80340	+	690	775	537	582	416	220	411
USA300HOU_0078	CP000730.1	80340	81890	+	1551	4142	3155	3222	1019	618	1080
USA300HOU_0079	CP000730.1	81896	82849	+	954	2807	2322	2488	645	389	751
USA300HOU_0080	CP000730.1	82852	83616	+	765	2148	1655	1856	608	333	672
USA300HOU_0081	CP000730.1	83586	84350	+	765	1455	992	1055	502	348	566
USA300HOU_0082	CP000730.1	84346	84978	+	633	671	531	560	495	272	499
USA300HOU_0084	CP000730.1	86040	88061	+	2022	226517	227250	242361	6514	3778	7028
USA300HOU_0085	CP000730.1	88082	88624	+	543	76455	76212	78843	1962	1236	2116
USA300HOU_0086	CP000730.1	88822	88956	-	135	430	369	332	59	32	51
USA300HOU_0089	CP000730.1	91704	91799	-	96	87	60	61	107	60	80
USA300HOU_0090	CP000730.1	91903	92655	-	753	495	437	290	465	291	442
USA300HOU_0091	CP000730.1	92658	92915	-	258	131	118	90	82	83	86
USA300HOU_0092	CP000730.1	93052	94116	+	1065	3699	3031	4027	231	155	204
USA300HOU_0093	CP000730.1	94150	95481	+	1332	6471	5304	7204	284	179	498
USA300HOU_0095	CP000730.1	96966	97064	-	99	64	53	50	255	130	298
USA300HOU_0096	CP000730.1	97366	98349	-	984	647	539	544	4858	2810	7245
USA300HOU_0097	CP000730.1	98658	98858	+	201	23	21	18	106	55	128
USA300HOU_0098	CP000730.1	98910	99203	+	294	113	56	64	278	149	471
USA300HOU_0099	CP000730.1	99281	100498	-	1218	119	72	47	647	344	647
USA300HOU_0101	CP000730.1	100930	101025	-	96	4	2	1	23	13	25
USA300HOU_0102	CP000730.1	101154	102011	+	858	938	850	849	362	195	397
USA300HOU_0103	CP000730.1	102372	102902	-	531	76	18	14	110	64	173
USA300HOU_0104	CP000730.1	102993	103733	+	741	94	65	50	255	156	370
USA300HOU_0105	CP000730.1	104170	104769	+	600	95	58	79	516	263	577
USA300HOU_0106	CP000730.1	105039	108188	+	3150	591	487	374	1705	1053	2162
USA300HOU_0107	CP000730.1	108248	108727	+	480	188	175	146	659	388	673
USA300HOU_0108	CP000730.1	108935	109918	+	984	62	20	8	250	164	220
USA300HOU_0109	CP000730.1	110142	110909	+	768	56	16	14	103	48	127
USA300HOU_0110	CP000730.1	110931	111731	+	801	154	32	37	250	153	239
USA300HOU_0111	CP000730.1	111798	112565	+	768	123	53	43	249	117	232
USA300HOU_0112	CP000730.1	112635	113399	+	765	114	53	64	297	164	256
USA300HOU_0113	CP000730.1	113496	115730	+	2235	1240	916	976	2477	1460	3408
USA300HOU_0114	CP000730.1	115884	117059	+	1176	579	692	426	243	152	308
USA300HOU_0115	CP000730.1	117064	118449	+	1386	843	969	748	351	221	362
USA300HOU_0116	CP000730.1	118948	120612	-	1665	331	258	190	4081	2740	4180
USA300HOU_0117	CP000730.1	120935	122707	-	1773	305	270	236	484	320	698
USA300HOU_0118	CP000730.1	122884	123762	-	879	59	4	0	89	61	67
USA300HOU_0119	CP000730.1	123866	125260	+	1395	77	2	4	250	104	153
USA300HOU_0120	CP000730.1	125453	125923	+	471	84	69	56	232	111	355
USA300HOU_0121	CP000730.1	126188	127777	+	1590	975	969	700	6080	3449	7109
USA300HOU_0122	CP000730.1	128112	129623	-	1512	26276	22466	17875	118903	77642	117021
USA300HOU_0123	CP000730.1	130011	130760	-	750	1753	1617	1513	5417	3609	8977
USA300HOU_0124	CP000730.1	131132	132127	-	996	2177	1921	1933	1167	725	1550
USA300HOU_0125	CP000730.1	132127	133119	-	993	382	274	306	423	243	466
USA300HOU_0126	CP000730.1	133138	134109	-	972	403	227	258	524	307	395
USA300HOU_0127	CP000730.1	134358	135335	+	978	597	350	354	25	5	28
USA300HOU_0128	CP000730.1	135335	136342	+	1008	658	489	529	29	11	15
USA300HOU_0129	CP000730.1	136366	138117	+	1752	1422	1259	1498	93	46	136
USA300HOU_0130	CP000730.1	138113	139366	+	1254	956	716	1008	88	67	97
USA300HOU_0131	CP000730.1	139359	141092	+	1734	1117	1045	1387	154	78	179
USA300HOU_0132	CP000730.1	141076	142851	+	1776	1097	1143	1391	167	126	232
USA300HOU_0133	CP000730.1	142826	143602	+	777	451	403	528	119	65	114
USA300HOU_0134	CP000730.1	143605	144804	+	1200	681	686	895	223	123	229
USA300HOU_0135	CP000730.1	144811	145572	+	762	632	574	752	266	115	254
USA300HOU_0136	CP000730.1	145771	146175	+	405	41	20	8	80	89	162
USA300HOU_0137	CP000730.1	146228	146851	+	624	43	10	13	212	119	205
USA300HOU_0138	CP000730.1	147066	147839	+	774	15464	15910	17090	1485	984	3527
USA300HOU_0139	CP000730.1	147986	148105	+	120	19	8	4	5	2	11
USA300HOU_0140	CP000730.1	148178	149155	+	978	98	33	34	142	86	247
USA300HOU_0141	CP000730.1	149121	149810	+	690	35	8	5	49	19	80
USA300HOU_0142	CP000730.1	150023	151186	+	1164	47	6	10	184	84	139
